event_id,timestamp,price_at_time,views,wishlists,tickets_sold_interval,cumulative_sold
E001,2026-07-11 20:00,650,558,101,1,1
E001,2026-07-11 21:00,650,594,136,1,2
E001,2026-07-11 22:00,650,566,130,1,3
E001,2026-07-11 23:00,650,570,112,0,3
E001,2026-07-12 00:00,650,551,119,0,3
E001,2026-07-12 01:00,650,539,99,2,5
E001,2026-07-12 02:00,650,535,92,0,5
E001,2026-07-12 03:00,650,562,106,0,5
E001,2026-07-12 04:00,650,578,108,2,7
E001,2026-07-12 05:00,650,592,133,1,8
E001,2026-07-12 06:00,650,544,103,0,8
E001,2026-07-12 07:00,650,608,127,0,8
E001,2026-07-12 08:00,650,535,112,0,8
E001,2026-07-12 09:00,650,611,129,1,9
E001,2026-07-12 10:00,650,551,119,0,9
E001,2026-07-12 11:00,650,587,123,0,9
E001,2026-07-12 12:00,650,565,120,0,9
E001,2026-07-12 13:00,650,560,95,1,10
E001,2026-07-12 14:00,650,584,130,0,10
E001,2026-07-12 15:00,650,610,120,1,11
E001,2026-07-12 16:00,650,609,109,0,11
E001,2026-07-12 17:00,650,595,134,1,12
E001,2026-07-12 18:00,650,560,117,1,13
E001,2026-07-12 19:00,650,618,107,0,13
E001,2026-07-12 20:00,650,547,120,1,14
E001,2026-07-12 21:00,650,620,141,0,14
E001,2026-07-12 22:00,650,573,104,0,14
E001,2026-07-12 23:00,650,589,100,0,14
E001,2026-07-13 00:00,650,604,122,1,15
E001,2026-07-13 01:00,650,612,117,1,16
E001,2026-07-13 02:00,650,617,127,0,16
E001,2026-07-13 03:00,650,538,120,2,18
E001,2026-07-13 04:00,650,544,97,2,20
E001,2026-07-13 05:00,650,623,108,0,20
E001,2026-07-13 06:00,650,578,130,1,21
E001,2026-07-13 07:00,650,622,128,0,21
E001,2026-07-13 08:00,650,589,129,0,21
E001,2026-07-13 09:00,650,549,120,1,22
E001,2026-07-13 10:00,650,622,102,1,23
E001,2026-07-13 11:00,650,571,112,0,23
E001,2026-07-13 12:00,650,558,92,0,23
E001,2026-07-13 13:00,650,563,103,0,23
E001,2026-07-13 14:00,650,583,123,0,23
E001,2026-07-13 15:00,650,621,114,0,23
E001,2026-07-13 16:00,650,568,109,0,23
E001,2026-07-13 17:00,650,571,129,0,23
E001,2026-07-13 18:00,650,601,129,0,23
E001,2026-07-13 19:00,650,608,99,0,23
E001,2026-07-13 20:00,650,623,122,0,23
E001,2026-07-13 21:00,650,605,119,0,23
E001,2026-07-13 22:00,650,612,124,0,23
E001,2026-07-13 23:00,650,578,122,1,24
E001,2026-07-14 00:00,650,546,116,2,26
E001,2026-07-14 01:00,650,569,92,1,27
E001,2026-07-14 02:00,650,541,98,1,28
E001,2026-07-14 03:00,650,554,97,0,28
E001,2026-07-14 04:00,650,579,101,2,30
E001,2026-07-14 05:00,650,538,100,2,32
E001,2026-07-14 06:00,650,610,130,0,32
E001,2026-07-14 07:00,650,591,122,0,32
E001,2026-07-14 08:00,650,559,113,0,32
E001,2026-07-14 09:00,650,571,92,0,32
E001,2026-07-14 10:00,650,552,99,1,33
E001,2026-07-14 11:00,650,574,115,0,33
E001,2026-07-14 12:00,650,553,119,1,34
E001,2026-07-14 13:00,650,581,104,0,34
E001,2026-07-14 14:00,650,540,94,0,34
E001,2026-07-14 15:00,650,621,107,0,34
E001,2026-07-14 16:00,650,603,117,0,34
E001,2026-07-14 17:00,650,609,123,0,34
E001,2026-07-14 18:00,650,558,98,0,34
E001,2026-07-14 19:00,650,542,87,0,34
E001,2026-07-14 20:00,650,550,90,1,35
E001,2026-07-14 21:00,650,603,137,0,35
E001,2026-07-14 22:00,650,554,101,1,36
E001,2026-07-14 23:00,650,553,98,0,36
E001,2026-07-15 00:00,650,607,117,2,38
E001,2026-07-15 01:00,650,569,116,2,40
E001,2026-07-15 02:00,650,539,117,1,41
E001,2026-07-15 03:00,650,539,94,2,43
E001,2026-07-15 04:00,650,625,123,0,43
E001,2026-07-15 05:00,650,564,102,1,44
E001,2026-07-15 06:00,650,577,112,0,44
E001,2026-07-15 07:00,650,625,129,0,44
E001,2026-07-15 08:00,650,624,132,0,44
E001,2026-07-15 09:00,650,568,97,1,45
E001,2026-07-15 10:00,650,560,102,1,46
E001,2026-07-15 11:00,650,602,117,0,46
E001,2026-07-15 12:00,650,545,105,1,47
E001,2026-07-15 13:00,650,580,105,0,47
E001,2026-07-15 14:00,650,580,126,0,47
E001,2026-07-15 15:00,650,594,110,1,48
E001,2026-07-15 16:00,650,587,94,0,48
E001,2026-07-15 17:00,650,551,123,1,49
E001,2026-07-15 18:00,650,604,113,1,50
E001,2026-07-15 19:00,650,552,109,0,50
E001,2026-07-15 20:00,650,623,113,0,50
E001,2026-07-15 21:00,650,540,108,0,50
E001,2026-07-15 22:00,650,607,133,0,50
E001,2026-07-15 23:00,650,614,105,2,52
E001,2026-07-16 00:00,650,620,120,1,53
E001,2026-07-16 01:00,650,548,101,0,53
E001,2026-07-16 02:00,650,540,95,1,54
E001,2026-07-16 03:00,650,579,112,0,54
E001,2026-07-16 04:00,650,625,130,2,56
E001,2026-07-16 05:00,650,602,129,1,57
E001,2026-07-16 06:00,650,539,109,1,58
E001,2026-07-16 07:00,650,569,129,0,58
E001,2026-07-16 08:00,650,578,117,1,59
E001,2026-07-16 09:00,650,563,101,0,59
E001,2026-07-16 10:00,650,578,99,1,60
E001,2026-07-16 11:00,650,560,128,0,60
E001,2026-07-16 12:00,650,607,130,0,60
E001,2026-07-16 13:00,650,584,122,1,61
E001,2026-07-16 14:00,650,578,108,0,61
E001,2026-07-16 15:00,650,558,94,0,61
E001,2026-07-16 16:00,650,591,115,0,61
E001,2026-07-16 17:00,650,620,135,1,62
E001,2026-07-16 18:00,650,588,107,1,63
E001,2026-07-16 19:00,650,607,121,0,63
E001,2026-07-16 20:00,650,588,102,1,64
E001,2026-07-16 21:00,650,589,100,0,64
E001,2026-07-16 22:00,650,625,141,1,65
E001,2026-07-16 23:00,650,549,109,2,67
E001,2026-07-17 00:00,650,567,95,1,68
E001,2026-07-17 01:00,650,579,96,1,69
E001,2026-07-17 02:00,650,564,123,0,69
E001,2026-07-17 03:00,650,562,127,1,70
E001,2026-07-17 04:00,650,619,106,0,70
E001,2026-07-17 05:00,650,553,114,2,72
E001,2026-07-17 06:00,650,619,120,1,73
E001,2026-07-17 07:00,650,616,138,0,73
E001,2026-07-17 08:00,650,590,94,0,73
E001,2026-07-17 09:00,650,550,99,1,74
E001,2026-07-17 10:00,650,583,108,1,75
E001,2026-07-17 11:00,650,567,121,0,75
E001,2026-07-17 12:00,650,560,111,1,76
E001,2026-07-17 13:00,650,544,123,0,76
E001,2026-07-17 14:00,650,610,102,0,76
E001,2026-07-17 15:00,650,621,114,0,76
E001,2026-07-17 16:00,650,580,94,1,77
E001,2026-07-17 17:00,650,546,98,1,78
E001,2026-07-17 18:00,650,550,122,1,79
E001,2026-07-17 19:00,650,603,103,1,80
E001,2026-07-17 20:00,650,551,118,0,80
E001,2026-07-17 21:00,650,544,88,0,80
E001,2026-07-17 22:00,650,621,130,0,80
E001,2026-07-17 23:00,650,568,114,0,80
E001,2026-07-18 00:00,650,622,121,0,80
E001,2026-07-18 01:00,650,589,132,0,80
E001,2026-07-18 02:00,650,587,127,1,81
E001,2026-07-18 03:00,650,579,121,1,82
E001,2026-07-18 04:00,650,590,127,1,83
E001,2026-07-18 05:00,650,549,99,1,84
E001,2026-07-18 06:00,650,587,127,0,84
E001,2026-07-18 07:00,650,555,107,0,84
E001,2026-07-18 08:00,650,586,103,1,85
E001,2026-07-18 09:00,650,546,105,0,85
E001,2026-07-18 10:00,650,627,121,0,85
E001,2026-07-18 11:00,650,598,111,1,86
E001,2026-07-18 12:00,650,567,129,0,86
E001,2026-07-18 13:00,650,541,92,0,86
E001,2026-07-18 14:00,650,566,115,1,87
E001,2026-07-18 15:00,650,555,119,0,87
E001,2026-07-18 16:00,650,557,92,1,88
E001,2026-07-18 17:00,650,570,92,0,88
E001,2026-07-18 18:00,650,610,138,1,89
E001,2026-07-18 19:00,650,542,115,1,90
E001,2026-07-18 20:00,650,627,137,0,90
E001,2026-07-18 21:00,650,617,127,0,90
E001,2026-07-18 22:00,650,599,132,2,92
E001,2026-07-18 23:00,650,600,123,1,93
E001,2026-07-19 00:00,650,613,122,2,95
E001,2026-07-19 01:00,650,623,102,0,95
E001,2026-07-19 02:00,650,579,102,1,96
E001,2026-07-19 03:00,650,558,99,1,97
E001,2026-07-19 04:00,650,593,99,0,97
E001,2026-07-19 05:00,650,599,125,0,97
E001,2026-07-19 06:00,650,570,97,0,97
E001,2026-07-19 07:00,650,558,91,1,98
E001,2026-07-19 08:00,650,574,120,0,98
E001,2026-07-19 09:00,650,631,137,1,99
E001,2026-07-19 10:00,650,568,115,1,100
E001,2026-07-19 11:00,650,597,123,1,101
E001,2026-07-19 12:00,650,551,94,0,101
E001,2026-07-19 13:00,650,580,99,0,101
E001,2026-07-19 14:00,650,567,128,0,101
E001,2026-07-19 15:00,650,611,100,0,101
E001,2026-07-19 16:00,650,573,94,0,101
E001,2026-07-19 17:00,650,616,136,1,102
E001,2026-07-19 18:00,650,613,123,0,102
E001,2026-07-19 19:00,650,620,125,0,102
E001,2026-07-19 20:00,650,618,100,0,102
E001,2026-07-19 21:00,650,559,113,2,104
E001,2026-07-19 22:00,650,612,101,1,105
E001,2026-07-19 23:00,650,625,108,0,105
E001,2026-07-20 00:00,650,602,97,1,106
E001,2026-07-20 01:00,650,579,117,2,108
E001,2026-07-20 02:00,650,604,133,1,109
E001,2026-07-20 03:00,650,565,103,2,111
E001,2026-07-20 04:00,650,603,132,2,113
E001,2026-07-20 05:00,650,573,92,0,113
E001,2026-07-20 06:00,650,608,134,1,114
E001,2026-07-20 07:00,650,633,116,0,114
E001,2026-07-20 08:00,650,550,94,0,114
E001,2026-07-20 09:00,650,557,120,1,115
E001,2026-07-20 10:00,650,571,94,0,115
E001,2026-07-20 11:00,650,588,118,1,116
E001,2026-07-20 12:00,650,602,124,1,117
E001,2026-07-20 13:00,650,569,131,1,118
E001,2026-07-20 14:00,650,575,125,0,118
E001,2026-07-20 15:00,650,551,89,0,118
E001,2026-07-20 16:00,650,629,104,1,119
E001,2026-07-20 17:00,650,610,103,0,119
E001,2026-07-20 18:00,650,570,100,0,119
E001,2026-07-20 19:00,650,629,131,1,120
E001,2026-07-20 20:00,650,551,121,1,121
E001,2026-07-20 21:00,650,589,98,1,122
E001,2026-07-20 22:00,650,567,127,1,123
E001,2026-07-20 23:00,650,581,93,0,123
E001,2026-07-21 00:00,650,623,108,0,123
E001,2026-07-21 01:00,650,569,124,1,124
E001,2026-07-21 02:00,650,555,96,2,126
